"site","block","nitrogen","biomass","moisture"
"Hancock","R2","amended",933.976,40.0418
"Hancock","R2","control",819.606,43.0805
"Hancock","R3","amended",176.954,46.2625
"Hancock","R3","control",185.183,51.7994
"Hancock","R4","amended",389.7555,42.5962
"Hancock","R4","control",405.162,45.018
"Oregon","R1","amended",1993.535,42.7384
"Oregon","R1","control",1721.225,39.5502
"Oregon","R2","amended",1621.025,45.0661
"Oregon","R2","control",2026.015,39.2107
"Oregon","R3","amended",2290.13,40.5369
"Oregon","R3","control",1753.43,44.9944
"Oregon","R4","amended",2206.3,46.7982
"Oregon","R4","control",1448.73,44.7554
"Rhinelander","R1","amended",674.679,46.7715
"Rhinelander","R1","control",444.6185,50.0978
"Rhinelander","R2","amended",1430.51,45.4131
"Rhinelander","R2","control",831.1655,48.8203
"Rhinelander","R3","amended",1429.95,48.5552
"Rhinelander","R3","control",654.2925,49.946
"Rhinelander","R4","amended",1693.785,45.7162
"Rhinelander","R4","control",621.964,49.7571
