"site","block","nitrogen","height","lodged"
"Hancock","R2","amended",190.552631578947,0.0526315789473684
"Hancock","R2","control",196.052631578947,0
"Hancock","R3","amended",82.8,0
"Hancock","R3","control",68.4857142857143,0
"Hancock","R4","amended",131.178571428571,0.0357142857142857
"Hancock","R4","control",108.257142857143,0
"Oregon","R1","amended",136.25,0.325
"Oregon","R1","control",146.95,0.425
"Oregon","R2","amended",124.263157894737,0.657894736842105
"Oregon","R2","control",116.947368421053,0.815789473684211
"Oregon","R3","amended",134.911764705882,0.588235294117647
"Oregon","R3","control",142.447368421053,0.394736842105263
"Oregon","R4","amended",134.425,0.45
"Oregon","R4","control",151.55,0.375
"Rhinelander","R1","amended",157.484848484848,0
"Rhinelander","R1","control",133.157894736842,0
"Rhinelander","R2","amended",144.58064516129,0.548387096774194
"Rhinelander","R2","control",179.842105263158,0
"Rhinelander","R3","amended",154.194444444444,0
"Rhinelander","R3","control",144.55,0
"Rhinelander","R4","amended",161.290322580645,0.290322580645161
"Rhinelander","R4","control",169.525,0
